,n,number_of_iterations,number_of_moves,time
0,4.0,21.0,12.0,0.0
1,5.0,16.0,5.0,0.0
2,6.0,113.0,48.0,0.0
3,7.0,29.0,9.0,0.0009133815765380859
4,8.0,442.0,168.0,0.0009920597076416016
5,9.0,166.0,59.0,0.0009951591491699219
6,10.0,529.0,156.0,0.0009992122650146484
7,11.0,223.0,69.0,0.0
8,12.0,1366.0,374.0,0.008156061172485352
9,13.0,666.0,163.0,0.0009908676147460938
10,14.0,13021.0,2954.0,0.015929698944091797
11,15.0,9561.0,2037.0,0.016503334045410156
12,16.0,74291.0,15104.0,0.09200167655944824
13,17.0,44632.0,8499.0,0.06556105613708496
14,18.0,334705.0,60584.0,0.39719128608703613
15,19.0,22131.0,3791.0,0.035042762756347656
16,20.0,1772191.0,290282.0,2.350329875946045
17,21.0,75648.0,11991.0,0.10119962692260742
18,22.0,16173348.0,2414456.0,20.2266104221344
19,23.0,242797.0,35275.0,0.3498396873474121
20,24.0,4185451.0,573902.0,5.1658406257629395
21,25.0,496172.0,65655.0,0.6176841259002686
22,26.0,4291678.0,538486.0,5.3323516845703125
23,27.0,5051159.0,621673.0,6.1824798583984375
24,28.0,34854550.0,4084230.0,44.627208948135376
