,n,number_of_iterations,number_of_moves,time
0,4.0,0.0,4.0,0.0
1,5.0,0.0,5.0,0.0
2,6.0,0.0,6.0,0.0
3,7.0,0.0,7.0,0.0
4,8.0,419.0,878.0,0.0063021183013916016
5,9.0,439.0,923.0,0.017420530319213867
6,10.0,0.0,10.0,0.0
7,11.0,0.0,11.0,0.0
8,12.0,0.0,12.0,0.0
9,13.0,0.0,13.0,0.0
10,14.0,73.0,160.0,0.00327301025390625
11,15.0,1560.0,3360.0,0.10132598876953125
12,16.0,0.0,16.0,0.0
13,17.0,0.0,17.0,0.0
14,18.0,0.0,18.0,0.0
15,19.0,0.0,19.0,0.0
16,20.0,346.0,772.0,0.04492020606994629
17,21.0,3078.0,6807.0,0.3661971092224121
18,22.0,0.0,22.0,0.0
19,23.0,0.0,23.0,0.0
20,24.0,0.0,24.0,0.0
21,25.0,0.0,25.0,0.0
22,26.0,4155.0,9402.0,0.7090883255004883
23,27.0,475.0,1085.0,0.08679628372192383
24,28.0,0.0,28.0,0.0
25,29.0,0.0,29.0,0.0
26,30.0,0.0,30.0,0.0
27,31.0,0.0,31.0,0.0
28,32.0,2777.0,6450.0,0.6871559619903564
29,33.0,681.0,1593.0,0.1831223964691162
30,34.0,0.0,34.0,0.0
31,35.0,0.0,35.0,0.0
32,36.0,0.0,36.0,0.0
33,37.0,0.0,37.0,0.0
34,38.0,30682.0,73030.0,11.495457649230957
35,39.0,5572.0,13328.0,2.3359622955322266
36,40.0,0.0,40.0,0.0
37,41.0,0.0,41.0,0.0
38,42.0,0.0,42.0,0.0
39,43.0,0.0,43.0,0.0
40,44.0,17200.0,41968.0,8.600182056427002
41,45.0,27784.0,68078.0,14.129412174224854
42,46.0,0.0,46.0,0.0
43,47.0,0.0,47.0,0.0
44,48.0,0.0,48.0,0.0
45,49.0,0.0,49.0,0.0
